,movie,rating
0,"Thappad (I) (2020)",1
1,"Judy (II) (2019)",1
2,"Kalifornia (1993)",1
3,"Spy Kids 4: All the Time in the World (2011)",1
4,"The Look of Love (2013)",1
5,"Homeless (II) (2015)",1
6,"365 Days (2020)",1
7,"Senna (2010)",1
8,"The Good Dinosaur (2015)",1
9,"The Painted Veil (2006)",1
10,"NOS4A2: The Night Road (2020) Season 2, Episode 3",1
11,"Dil Dhadakne Do (2015)",1
12,"Stars in My Crown (1950)",1
13,"Casablanca (1942)",1
14,"Broers (2017)",1
15,"Sound of Noise (2010)",1
16,"Midnight in Paris (2011)",1
17,"Mrs. Serial Killer (2020)",1
18,"The Lodger: A Story of the London Fog (1927)",1
19,"Hanyo (2010)",1
20,"Chocolat (2016)",1
21,"Kingdom (2019)",1
22,"Airborne (2012)",1
23,"Horace and Pete (2016)",1
24,"Grease Live! (2016 TV Movie)",1
25,"Your Name. (2016)",1
26,"Cold Ground (2017)",1
27,"Stargate SG-1: Forever in a Day (1999) Season 3, Episode 10",1
28,"Like Cats & Dogs (2017 TV Movie)",1
29,"Up the Junction (1968)",1
30,"Kick-Ass 2 (2013)",1
31,"Hamilton (2020)",1
32,"Westworld: Crisis Theory (2020) Season 3, Episode 8",1
33,"Billions (2016– )",1
34,"Hunters (2020– )",1
35,"The Boy (2016)",1
36,"The Lone Ranger (2013)",1
37,"Little House on the Prairie (1974–1983)",1
38,"And Justice for All (1979)",1
39,"Mrs. Serial Killer (2020)",1
40,"The Alamo (1960)",1
41,"Anne with an E (2017–2019)",1
42,"Maggie (I) (2015)",1
43,"10 Cloverfield Lane (2016)",1
44,"Breach (2007)",1
45,"Stray Dolls (2019)",1
46,"Stone (2010)",1
47,"Man Behind the Sun (1988)",1
48,"Mrs. Serial Killer (2020)",1
49,"Shukranu (2020)",1
50,"Scary Movie V (2013)",1
51,"The Hunger Games: Mockingjay - Part 2 (2015)",1
52,"Smile Jenny, You're Dead (1974 TV Movie)",1
53,"Hondo (1953)",1
54,"Hanna (2019– )",1
55,"Jimmy Dorsey and His Orchestra (1938)",1
56,"Occupation (2018)",1
57,"Japanese story (2020– )",1
58,"2012 (I) (2009)",1
59,"Bob's Burgers: Pig Trouble in Little Tina (2019) Season 10, Episode 4",1
60,"Colombiana (2011)",1
61,"Mrs. Serial Killer (2020)",1
62,"The Incredible Burt Wonderstone (2013)",1
63,"Dangerous Lies (2020)",1
64,"Beastie Boys Story (2020)",1
65,"The Chosen (2017– )",1
66,"Street Fighter: The Legend of Chun-Li (2009)",1
67,"Danger God (2018)",1
68,"I Knew Her Well (1965)",1
69,"The New Mutants (2020)",1
70,"Den of Thieves (2018)",1
71,"Empty Rooms (2012)",1
72,"Fright Night Part 2 (1988)",1
73,"Inseparable (2011)",1
74,"NCIS: Los Angeles: The Silo (2017) Season 9, Episode 7",1
75,"Stir of Echoes (1999)",1
76,"Asha Jaoar Majhe (2014)",1
77,"The Last Kingdom (2015– )",1
78,"Money Heist (2017– )",1
79,"M (1931)",1
80,"Mrs. Serial Killer (2020)",1
81,"The Triangle (2005)",1
82,"Star Wars: The Clone Wars: Victory and Death (2020) Season 7, Episode 12",1
83,"Ghostbusters: Answer the Call (2016)",1
84,"The Fast and the Furious (2001)",1
85,"Supergirl: Deus Lex Machina (2020) Season 5, Episode 17",1
86,"Queen & Slim (2019)",1
87,"Chhichhore (2019)",1
88,"Creed (II) (2015)",1
89,"Baaghi (2016)",1
90,"The Frozen Ground (2013)",1
91,"Man Seeking Woman (2015–2017)",1
92,"Supergirl: Deus Lex Machina (2020) Season 5, Episode 17",1
93,"The Frighteners (1996)",1
94,"The Road to El Dorado (2000)",1
95,"The Prisoner: Arrival (1967) Season 1, Episode 0",1
96,"Wentworth (2013–2021)",1
97,"Lady-Like (2017)",1
98,"The Blade Master (1982)",1
99,"Twilight (I) (2008)",1
100,"Your Highness (2011)",1
101,"Never Kiss Your Best Friend (2020– )",1
102,"The Martian (2015)",1
103,"A Nightmare on Elm Street (2010)",1
104,"Come Fill the Cup (1951)",1
105,"Doraemon the Movie: Nobita and the Green Giant Legend (2008)",1
106,"Pod (I) (2015)",1
107,"Star Wars: The Clone Wars: Shattered (2020) Season 7, Episode 11",1
108,"Portland Street Blues (1998)",1
109,"Frasier: The Bad Son (2000) Season 8, Episode 3",1
110,"The Pride and the Passion (1957)",1
111,"Do Me Evil (1975)",1
112,"The Taste of Relation (2009)",1
113,"Barnaby Jones: Deadly Reunion (1976) Season 4, Episode 20",1
114,"Batman v Superman: Dawn of Justice (2016)",1
115,"Apartment 1303 3D (2012)",1
116,"Ricky (I) (2009)",1
117,"Star Wars: The Clone Wars: Victory and Death (2020) Season 7, Episode 12",1
118,"Mrs. Serial Killer (2020)",1
119,"The Intern (I) (2015)",1
120,"Wrecked (2010)",1
121,"The Chubbchubbs! (2002)",1
122,"Rick and Morty: Never Ricking Morty (2020) Season 4, Episode 6",1
123,"The Last Kingdom (2015– )",1
124,"Suing the Devil (2011)",1
125,"Star Wars: The Clone Wars: Victory and Death (2020) Season 7, Episode 12",1
126,"The Devil and Miss Jones (1941)",1
127,"Jobs (2013)",1
128,"Hail, Caesar! (2016)",1
129,"The Willoughbys (2020)",1
130,"Anger of the Dead (2015)",1
131,"The Half of It (I) (2020)",1
132,"Stop Gun Violence: PSA (2014 TV Short)",1
133,"Madras Cafe (2013)",1
134,"Reckoning (2019)",1
135,"Devs (2020)",1
136,"Confessions of a Serial Killer with Piers Morgan (2017– )",1
137,"Kral Sakir Korsanlar Diyari (2019)",1
138,"Agora (2009)",1
139,"Hollywood (2020)",1
140,"Close Encounters of the Fifth Kind (2020)",1
141,"Horrible Bosses (2011)",1
142,"More American Graffiti (1979)",1
143,"I Love Trouble (1948)",1
144,"Orange Is the New Black (2013–2019)",1
145,"Star Wars: The Clone Wars: Victory and Death (2020) Season 7, Episode 12",1
146,"Australia (2008)",1
147,"Dr. Jekyll and Mr. Hyde (1931)",1
148,"Australia (2008)",1
149,"Champagne (1928)",1
150,"Miss Grant Goes to the Door (1940)",1
151,"Ted 2 (2015)",1
152,"Maharaj Ki Jai Ho (2020)",1
153,"3 Idiots (2009)",1
154,"Strange Bargain (1949)",1
155,"Plane Crazy (1928)",1
156,"Tenet (2020)",1
157,"Dark (2017–2020)",1
158,"The Cabinet of Dr. Caligari (1920)",1
159,"Octopussy (1983)",1
160,"Shubh Mangal Zyada Saavdhan (2020)",1
161,"Sausage Party (2016)",1
162,"In the Tall Grass (2019)",1
163,"Dark Shadows: Episode #1.43 (1966) Season 1, Episode 43",1
164,"Sleep, My Love (1948)",1
165,"Westworld: Crisis Theory (2020) Season 3, Episode 8",1
166,"Queen & Slim (2019)",1
167,"The Truman Show (1998)",1
168,"Eteros ego: Hamenes psyhes (2019– )",1
169,"L.A. Confidential (1997)",1
170,"Mrs. Serial Killer (2020)",1
171,"Jurassic Park III (2001)",1
172,"Moonlight (I) (2016)",1
173,"Greed (I) (2019)",1
174,"Thappad (I) (2020)",1
175,"Mrs. Serial Killer (2020)",1
176,"The Mortal Instruments: City of Bones (2013)",1
177,"The Bad Kids (2020– )",1
178,"Mrs. Serial Killer (2020)",1
179,"Poopak va Mash Mashallah (2010)",1
180,"Undertaker: The Last Ride: First Look (2020 TV Short)",1
181,"Lake Mungo (2008)",1
182,"Atlanta's Missing and Murdered: The Lost Children (2020)",1
183,"The Lizzie Borden Chronicles (2015)",1
184,"The Lodge (2019)",1
185,"Mrs. Serial Killer (2020)",1
186,"Mrs. Serial Killer (2020)",1
187,"The Leftovers (2014–2017)",1
188,"Mrs. Serial Killer (2020)",1
189,"The Inbetweeners (2011)",1
190,"Entourage (2004–2011)",1
191,"Deaf, Dumb and Blonde (1928)",1
192,"Severus Snape and the Marauders (2016)",1
193,"The Last Witch (2013 TV Movie)",1
194,"Outer Banks (2020– )",1
195,"The Lobbygow (1923)",1
196,"Gravity Falls (2012–2016)",1
197,"Mrs. Serial Killer (2020)",1
198,"The Dummy Owner (1938)",1
199,"Matchmaking Mamma (1929)",1
200,"The Droving (2020)",1
201,"Airplane Mode (II) (2019)",1
202,"The Expanse (2015– )",1
203,"Westworld: Crisis Theory (2020) Season 3, Episode 8",1
204,"Steve Jobs (2015)",1
205,"Slasher: Drone (2017) Season 2, Episode 6",1
206,"Sufiyum Sujatayum (2020)",1
207,"Dark Shadows: Episode #1.42 (1966) Season 1, Episode 42",1
208,"Work in Progress (II) (2019– )",1
209,"Christmas in July (1940)",1
210,"Mrs. Serial Killer (2020)",1
211,"Queen & Slim (2019)",1
212,"Show People (1928)",1
213,"Before I Disappear (2014)",1
214,"Broken But Beautiful (2018– )",1
